Date,Open,High,Low,Close,Adj Close,Volume
2018-08-01,5520.330078,5539.410156,5287.180176,5406.850098,5406.850098,1536912100
2018-09-01,5400.700195,5546.799805,5226.310059,5493.490234,5493.490234,1734350200
2018-10-01,5494.930176,5519.939941,4896.799805,5093.439941,5093.439941,2255277300
2018-11-01,5076.549805,5168.109863,4894.299805,5003.919922,5003.919922,1852211300
2018-12-01,5112.580078,5115.129883,4555.990234,4730.689941,4730.689941,1797889100
2019-01-01,4642.180176,5016.279785,4606.200195,4992.720215,4992.720215,1758500300
2019-02-01,5004.649902,5248.500000,4946.140137,5240.529785,5240.529785,1689065900
2019-03-01,5267.140137,5443.100098,5211.759766,5350.529785,5350.529785,1759062500
2019-04-01,5394.500000,5601.379883,5376.180176,5586.410156,5586.410156,1552386000
2019-05-01,5568.200195,5573.160156,5160.910156,5207.629883,5207.629883,1891335300
2019-06-01,5171.609863,5582.240234,5152.299805,5538.970215,5538.970215,1676802200
2019-07-01,5584.129883,5672.770020,5496.770020,5518.899902,5518.899902,1533760900
2019-08-01,5500.910156,5563.649902,5170.770020,5480.479980,5480.479980,1755063200
2019-09-01,5483.430176,5696.250000,5441.180176,5677.790039,5677.790039,1726466100
2019-10-01,5696.200195,5778.240234,5393.490234,5729.859863,5729.859863,1890277500
2019-11-01,5749.479980,5966.790039,5739.700195,5905.169922,5905.169922,1583901400
2019-12-01,5910.120117,6065.000000,5697.060059,5978.060059,5978.060059,1455227900
2020-01-01,6016.609863,6109.810059,5799.040039,5806.339844,5806.339844,1644181800
2020-02-01,5822.040039,6111.410156,5229.560059,5309.899902,5309.899902,2250355600
2020-03-01,5416.020020,5509.279785,3632.060059,4396.120117,4396.120117,4755485900
2020-04-01,4259.939941,4719.740234,4142.279785,4572.180176,4572.180176,2246106400
2020-05-01,4413.140137,4784.089844,4194.580078,4695.439941,4695.439941,2185653500
2020-06-01,4776.720215,5213.669922,4691.810059,4935.990234,4935.990234,2765448100
2020-07-01,4939.799805,5172.979980,4783.689941,4783.689941,4783.689941,1968206500
2020-08-01,4797.060059,5096.529785,4763.600098,4947.220215,4947.220215,1492673300
2020-09-01,4974.419922,5131.390137,4666.259766,4803.439941,4803.439941,2012881400
2020-10-01,4850.200195,4998.509766,4512.569824,4594.240234,4594.240234,1398836100
2020-11-01,4614.950195,5612.759766,4581.859863,5598.180176,5598.180176,246374100
